dataset,run,model,hop,hits,total,recall
LLMs4OL_SchemaOrg_SUB,LLMs4OL_SchemaOrg_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,1,50,85,0.5882
LLMs4OL_SchemaOrg_SUB,LLMs4OL_SchemaOrg_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,2,18,44,0.4091
LLMs4OL_SchemaOrg_SUB,LLMs4OL_SchemaOrg_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,3,5,15,0.3333
LLMs4OL_SchemaOrg_SUB,LLMs4OL_SchemaOrg_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,1,39,85,0.4588
LLMs4OL_SchemaOrg_SUB,LLMs4OL_SchemaOrg_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,2,24,44,0.5455
LLMs4OL_SchemaOrg_SUB,LLMs4OL_SchemaOrg_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,3,9,15,0.6
SemEvalFood_SUB,SemEvalFood_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,1,89,101,0.8812
SemEvalFood_SUB,SemEvalFood_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,2,84,99,0.8485
SemEvalFood_SUB,SemEvalFood_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,3,78,89,0.8764
SemEvalFood_SUB,SemEvalFood_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,4,49,63,0.7778
SemEvalFood_SUB,SemEvalFood_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,5,31,35,0.8857
SemEvalFood_SUB,SemEvalFood_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,6,14,15,0.9333
SemEvalFood_SUB,SemEvalFood_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,7,5,5,1.0
SemEvalFood_SUB,SemEvalFood_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,8,2,2,1.0
SemEvalFood_SUB,SemEvalFood_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,1,55,101,0.5446
SemEvalFood_SUB,SemEvalFood_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,2,29,99,0.2929
SemEvalFood_SUB,SemEvalFood_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,3,12,89,0.1348
SemEvalFood_SUB,SemEvalFood_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,4,2,63,0.0317
